Date,ABB,Assa Abloy,AstraZeneca,Carlsberg,Coloplast,Danske Bank,Elisa,Ericsson,Fortum,Genmab,Hennes & Mauritz,Hexagon,Investor,Nokia,Nordea,Novo Nordisk,Sampo,SCA,SEB,SKF,Stora Enso,Svenska Handelsbanken,Swedbank,Swedish Match,Tele2,UPM-Kymmene,Volvo
2001-11-29,10.59000015258789,49.33333206176758,22.655000686645508,45.0,57.20000076293945,117.98454284667969,13.5,204.03004455566406,3.763221025466919,116.0,105.75,1.6296299695968628,27.875,22.8700008392334,41.26758575439453,30.799999237060547,8.29150104522705,18.255630493164062,48.352169036865234,47.0,14.0,48.0,100.08644104003906,5.349999904632568,83.59415435791016,18.75,33.5
2001-11-30,10.600000381469727,49.666664123535156,22.725000381469727,46.5,55.0,121.68601989746094,13.550000190734863,213.05792236328125,3.808021068572998,120.0,106.5,1.6296299695968628,27.625,23.010000228881836,41.26758575439453,32.29999923706055,8.48659610748291,18.221635818481445,48.352169036865234,47.625,14.25,47.666664123535156,99.67285919189453,5.349999904632568,82.75098419189453,18.875,33.70000076293945
2001-12-03,10.1899995803833,50.33333206176758,22.25,46.0,55.0,121.22333526611328,13.350000381469727,207.6411895751953,3.546686887741089,116.0,107.5,1.5864200592041016,27.75,22.68000030517578,40.488948822021484,31.649999618530273,8.48659610748291,18.56159019470215,47.580589294433594,48.75,14.239999771118164,47.33333206176758,99.67285919189453,5.300000190734863,83.3532485961914,19.174999237060547,33.5
2001-12-04,10.550000190734863,51.666664123535156,22.684999465942383,45.5,56.0,123.0740737915039,13.260000228881836,218.4746551513672,3.4720189571380615,119.0,108.0,1.6234560012817383,28.375,24.190000534057617,40.488948822021484,32.25,8.437822341918945,18.391611099243164,47.06620788574219,49.625,14.25,47.83333206176758,99.25927734375,5.400000095367432,84.7986831665039,19.225000381469727,34.70000076293945
2001-12-05,11.329999923706055,53.666664123535156,22.575000762939453,45.70000076293945,56.5,120.76065063476562,13.800000190734863,232.91925048828125,3.5541529655456543,116.0,114.75,1.641975998878479,29.5,25.530000686645508,42.824851989746094,32.599998474121094,8.389047622680664,18.56159019470215,49.38093566894531,50.625,14.600000381469727,49.666664123535156,104.22224426269531,5.400000095367432,90.3395004272461,19.475000381469727,34.79999923706055
2001-12-06,11.300000190734863,50.0,22.885000228881836,45.20000076293945,54.400001525878906,119.37259674072266,13.800000190734863,232.91925048828125,3.5541529655456543,116.0,113.25,1.641975998878479,29.875,24.920000076293945,42.4355354309082,32.400001525878906,8.389047622680664,18.56159019470215,50.409706115722656,50.5,14.600000381469727,49.33333206176758,104.63581848144531,5.449999809265137,89.49633026123047,19.475000381469727,34.599998474121094
2001-12-07,11.149999618530273,53.5,22.600000381469727,45.0,54.400001525878906,117.52185821533203,15.050000190734863,227.50253295898438,3.569087028503418,120.0,111.0,1.635802984237671,29.625,24.600000381469727,42.4355354309082,32.599998474121094,8.389047622680664,18.901546478271484,50.409706115722656,51.125,14.430000305175781,48.666664123535156,103.80866241455078,5.449999809265137,89.73723602294922,18.950000762939453,35.20000076293945
2001-12-10,10.100000381469727,52.666664123535156,22.520000457763672,44.0,54.5,117.05917358398438,14.300000190734863,223.89137268066406,3.5317530632019043,115.0,107.5,1.5740729570388794,29.25,23.790000915527344,41.26758575439453,33.0,8.437822341918945,18.56159019470215,49.895320892333984,49.625,14.0,48.666664123535156,103.80866241455078,5.300000190734863,89.0145263671875,18.799999237060547,35.099998474121094
2001-12-11,10.229999542236328,51.33333206176758,22.139999389648438,43.29999923706055,55.0,117.98454284667969,14.350000381469727,231.11367797851562,3.546686887741089,117.0,108.0,1.5802459716796875,28.875,25.5,40.878265380859375,32.5,8.389047622680664,18.425607681274414,49.63813018798828,49.625,13.979999542236328,47.83333206176758,102.98149871826172,5.400000095367432,89.25543212890625,18.780000686645508,35.099998474121094
2001-12-12,10.350000381469727,51.0,22.0049991607666,45.0,54.20000076293945,117.05917358398438,14.350000381469727,223.89137268066406,3.509352922439575,139.5,106.25,1.5802459716796875,28.5,25.420000076293945,40.488948822021484,32.5,8.632916450500488,18.799560546875,48.60935974121094,48.625,13.90999984741211,48.83333206176758,103.80866241455078,5.449999809265137,87.93045043945312,18.950000762939453,35.5
2001-12-13,10.149999618530273,51.0,22.1299991607666,45.0,54.5,117.05917358398438,13.699999809265137,209.44677734375,3.4346859455108643,149.0,103.0,1.555556058883667,28.0,23.670000076293945,40.488948822021484,32.54999923706055,8.389047622680664,18.663576126098633,48.094974517822266,49.25,13.739999771118164,49.0,102.15434265136719,5.5,86.72592163085938,18.774999618530273,35.29999923706055
2001-12-14,10.199999809265137,48.33333206176758,22.25,45.0,54.5,113.35770416259766,13.550000190734863,207.6411895751953,3.509352922439575,147.0,101.0,1.5432100296020508,27.875,24.639999389648438,39.7103157043457,32.0,8.389047622680664,18.7315673828125,47.580589294433594,49.125,13.649999618530273,48.33333206176758,100.08644104003906,5.400000095367432,86.72592163085938,18.549999237060547,35.20000076293945
2001-12-17,10.350000381469727,49.33333206176758,22.375,45.20000076293945,51.5,113.82038879394531,13.949999809265137,211.25234985351562,3.569087028503418,146.0,105.0,1.5308630466461182,28.0,25.34000015258789,40.488948822021484,31.100000381469727,8.389047622680664,19.03752899169922,48.352169036865234,49.25,13.770000457763672,49.0,102.56791687011719,5.5,89.0145263671875,18.5,35.099998474121094
